,0
0,1.3097581442100226
1,2.2413248910310233
2,-0.4411733113025698
3,0.596463064177282
4,0.03482113585421976
5,1.8129183250978567
6,1.224764087364451
7,0.027492635654142485
8,0.39812458152321395
9,0.7421906497143659
10,-1.1946305242745416
11,0.11981108231266628
12,0.017843117484705084
13,1.1174094393669136
14,0.9364569358130097
15,-0.7140184349099535
16,1.4784042368657349
17,-0.24894289725644544
18,1.1398974583846162
19,0.8955617717324535
20,-0.08494302142500121
21,-0.0158457555574321
22,-0.29871638499846087
23,-1.9721863892669778
24,0.3313657073200455
25,1.118166335843033
26,-1.323847456868531
27,-1.1593699964520594
28,-0.8266394752148942
29,0.4355259782824045
30,0.27730478080105236
31,-0.6027144244471211
32,-0.7463210710595545
33,1.2671663038929872
34,1.8687399218745162
35,0.07594316414557829
36,-0.45831983931967163
37,-0.6984538870344107
38,2.851449516998828
39,1.7894019146970608
40,0.6327319388868596
41,-1.905688701695097
42,-0.8612497321064786
43,-1.7789384164668052
44,0.7674369760669975
45,-0.8945722003242547
46,0.2469162120749152
47,0.9506026639225618
48,-1.0549176182549567
49,-0.3943385437206247
50,0.3961384225965873
51,2.0261584475178456
52,2.172716747781292
53,-0.33434710973939213
54,-0.7123887030131976
55,-0.7719328627895327
56,-0.14568565294877256
57,0.24796546778737014
58,-0.31012912368319334
59,-0.8447196592107612
60,-2.393357060161075
61,0.6348140878831054
62,1.5355914187186208
63,-0.7139341171542998
64,-0.8003191373022653
65,0.38564471077377915
66,-0.5704353867664729
67,-1.51593748215867
68,2.240160096993889
69,2.2565550151559406
70,-0.5625391445724777
71,0.422810967416998
72,1.514838031907983
73,1.9893246706535712
74,-0.7248806071446039
75,0.8235358277231902
76,0.8227161271629023
77,-0.5245409182258488
78,-1.1668273473027477
79,0.8261020359106462
80,1.3011636302412701
81,-0.7891356228125777
82,0.44619714914629477
83,0.03602386750538612
84,-0.9710670536539401
85,-2.816529317043766
86,0.4146066278698734
87,-1.9179569760854542
88,-0.33890724418475415
89,-0.21411509734656584
90,1.2776808758203768
91,-0.58380593051694
92,-1.075109599479319
93,-3.276183872127085
94,-0.8640617416042172
95,0.5349828040890223
96,-1.3249771672746307
97,-0.9486281895907971
98,1.6726283777297897
